OnHold	Id	Prewords	Keywords	Paraphrase	Example	Origin	References	Comment
	58600		make money hand over fist	make lots of money quickly	There was so much pent-up demand for their product that they’re making money hand over fist.			
	58700		make the cut	qualify	I don’t have enough relevant experience, so I didn’t make the cut for the first round of interviews.	Alludes to sports teams, where the phrase refers to a player who is not cut from the team's roster but qualifies to be on the team.		
	58800		make the grade	satisfy requirements	You won’t make the grade in medical school without a tremendous amount of work.	Possibly alludes to to any of several sources: receiving grades in academic courses, the practice of grading products (e.g. jewels, beef, bonds) for quality, or a railroad train succeeding in climbing a steep grade.		
	58900		march to a different (or (one’s) own) drum (or drummer)	follow (one’s) own unique approach	Andy has always marched to a different drum. She’s very creative but a bit eccentric.		[ { "id": "59000", "text": "march to the beat of a different drum" } ]	
	59000		march to the beat of a different drum	follow (one’s) own unique approach	Andy has always marched to a different drum. She’s very creative but a bit eccentric.		[ { "id": "58900", "text": "march to a different (or (one’s) own) drum (or drummer)" } ]	
	59100		marching orders	assigned tasks	We have our marching orders, so let’s get to work.	Probably alludes to the use in the military of commands or orders to start infantry marching.		
**	59200	a	mare’s nest	a complicated, messy situation				
	59300		meet (one’s) Waterloo	suffer (one’s) final, complete defeat	They had a great series of upsets, but they met their Waterloo when they played the previous champs.	Alludes to the historical battle at Waterloo in Belgium where the French general Napoleon met his final defeat.		
	59400		mend fences	repair a relationship	There’s no reason for this quarrel to continue. It’s time to mend fences.			
	59500	the	meter is running	valuable time is passing	You’ve got 5 minutes to explain and the meter’s already running.	Alludes to taxis, where the price of journey is determined by a meter that times the journey.		
	59600		Mickey Mouse	amateurish	I won’t deal with this group again. It’s a real Mickey Mouse organization.			
**	59700	the	Midas touch			Alludes to the Greek myth of Midas, who wished for the ability to turn objects to gold through his touch.		
	59800		milk run	trivial task	This looks hard, but I’ve done it so many times now that it’s just a milk run.			
**	59900	the	million-dollar question	the critical question	Why is she here? That’s the million-dollar question, isn’t it?	Alludes to a 1950s American TV quiz show called <b><i>The $64,000 Question</i></b> in which a contestant could win $64,000 with a correct answer to the final question. Over the years, inflation has increased the supposed value of the question.	[ { "id": "200", "text": "$64,000 (or sixty-four-thousand dollar) question" } ]	
**	60000		mind (or watch) (one’s) Ps and Qs	mind (one’s) manners	This is a formal dinner, so please mind your Ps and Qs.	Of undetermined provenance, but possibly alludes to any of several sources: sailors in the 18th century who were admonished to clean up their peas (pea coats) and queues (braided plaits of hair) when going ashore; early typesetters who were reminded to be careful not to confuse lowercase p’s and q’s; or a 1763 poem by Charles Churchill containing the line \		
	60100		mint condition	like new	This car is 20 years old, but Andy has kept it in mint condition.	Alludes to minting coins, where the phrase refers to brand new coins fresh from the mint.		
	60200		missing in action	not present as expected	Andy was supposed to be here, but he’s missing in action again.	Probably alludes to the military phrase for someone whose fate after a battle is unknown.		
	60300		mission creep	a gradual, unintended expansion of goals	This project should have taken only 3 months, but mission creep has caused serious delays.	Alludes to the military phrase for a mission that grew beyond its original goals. 		
	60400		Mom and Pop (or Mon-and-Pop) operation	small business	Unfortunately, most of the Mom-and-Pop stores have not been able to compete with the big retailers.	Alludes to the historical existence of many small family-run businesses in the US.		Often implies a family-run business.
	60500	the	moment of truth	the revealing of critical results	It looks like the executive meeting is over. Here comes the moment of truth.	Alludes to to the moment in bullfighting when the matador is about to kill the bull.		
	60600	a	Monday morning quarterback	a person with the advantage of hindsight	It’s easy to be a Monday morning quarterback, but you can’t really know what you would have done in that situation.	Alludes to the practice of second-guessing, on Monday, an American pro football team’s tactics in its game on Sunday.		
**	60700		monkey on (one’s) back	a tenacious personal problem				
	60800	a	monkey wrench	a severe unexpected complication	That requirement definitely throws a monkey wrench into our plan.			Often used with ‘throw’.
**	60900		more fun than a barrel of monkeys					
**	61000		mothball (something)	suspend (something)	It looks like we’re going to mothball this project.	Alludes to the practice of storing clothes with mothballs to prevent damage from moths.		
	61100		mother lode	rich source	This is a mother lode of relevant data that we can use to check our own results.	Alludes to the phrase in mining for an extremely rich vein of ore. 		
**	61200	the 	mother ship	source				
	61300		move the ball down the field	make progress	This is an interesting idea, but does it help us move the ball down the field?	Alludes to to sports like soccer or football in which a team scores by moving the ball downfield into or over the opponent’s goal.		
	61400		move the goalposts	change the objectives	We’ll never get this project done if the client keeps moving the goalposts.	Alludes to American football where the goalposts are a target for scoring.		
	61500		move the needle	have an effect	They put in tremendous effort on the research yesterday, but I don’t think they moved the needle much.	Alludes to any analog instrument that indicates measurement by a needle moving on a numbered background.		
	61600		muddy the waters	confuse the situation	Andy’s just muddying the waters with his irrelevant comments.			
	61700		mum’s the word	don’t tell anyone	Mum’s the word. This is supposed to be a surprise party.			
GroupN
**	61800		nail (one’s) colors to the mast	declare absolute determination not to yield	I’ve nailed my colors to the mast on this issue. I’m not giving an inch.	Alludes to the historic practice in naval warfare of nailing the ship’s flag to the mask to show it will not be lowered in surrender.		
	61900		nailed down	planned in detail	Do we have the schedule nailed down yet? We’re supposed to get started on the project next week.			
	62000		neck and neck	in close competition	The polls show the candidates running neck and neck and the election’s only days away.	Alludes to horse racing, where two horses running side by side are said to be neck and neck.		
	62100		neck of the woods	area	We don’t often see people from the big city in this neck of the woods.			
	62200		nest egg	savings	We have a decent nest egg, but we’d be more comfortable with a bit more.	Alludes to an egg put in a hen’s next to encourage it to lay more.		
	62300		never got out of the gate	never got started	Without any backing, their start-up never got out of the gate.	Alludes to originally to horse racing, where the horses begin the race behind a gate that releases them at the start. 		
	62400		never lay a glove on	completely fail to harm	Andy lost that debate. He never laid a glove on his opponent.	Probably alludes to boxing, where the competitors wear gloves.		
	62500		never left the starting line	never got started	Without any backing, their start-up never left the starting line.	Alludes to any form of racing where the beginning is marked by a line.		
	62600	the	new kid on the block (or in town)	the new person in the group	Andy was always the new kid on the block, so he had to learn how to make friends quickly.			Implies that the new person is unaware of local customs.
	62700		new sheriff in town	new, stricter person in authority	There’s a new sheriff in town, so you kids will have to be on your best behavior.			
**	62800	the	nick of time	the last moment				
	62900		nip (something) in the bud	halt (something) before it starts	We have to nip this idea in the bud or the kids will never give up on it.			
	63000		nip and tuck	too close to predict	This game has been nip and tuck the whole way.			
	63100		nit picking (or picking nits)	identifying insignificant flaws	This is a really solid essay. The teaching assistant is just nit picking.			
	63200		no dog in this (or the) fight	nothing at stake	Let’s stay out of this argument. We’ve got no dog in this fight.			
	63300		no harm, no foul	no harm was done, no penalty is required	I know I rolled that stop sign, officer, but can’t we just call this no harm, no foul?	Alludes to the phrase used in informal games of basketball and other sports to indicate that a foul with no effect on a play is not called.		
	63400		no holds barred	no boundaries	They went at it with no holds barred and both said things they regret.	Alludes to wrestling, where the phrase means there are no limitations on what holds can be used.		
**	63500		no man’s land	unsafe area between contestants		Alludes to trench warfare, where the phrase refers to the area between opposing trenches. 		
**	63600		no more Mr. Nice Guy	I’m done acting reasonably and politely				
**	63700		no room at the inn	no space at the intended destination	We wanted to join them for dinner, but there was no room at the inn.	Alludes to the Christian legend that Mary and Joseph were turned away from a full inn and had to spend the night in a stable.		
	63800		no spring chicken	no youngster	Andy’s no spring chicken, but she still skis extremely well.			
**	63900		no-fly zone	restricted area	The boss is in a terrible mood today, and his office is a no-fly zone.	Alludes to aviation, where restrictions can be placed on entry into some areas of airspace. During warfare, no-fly zones are enforced militarily.		
	64000		nose to the grindstone	relentlessly at work	Andy is nose to the grindstone this week with final exams coming up.			
	64100		not (one’s) first rodeo	not (one’s) first experience	This is not my first rodeo. You can skip teaching me the basics.			
**	64200		not cricket					
	64300		not firing on all cylinders	not operating at full capacity	Don’t expect much of me today. I haven’t been sleeping well and I’m not firing on all cylinders.	Alludes to a poorly tuned engine.		
	64400		not ready for prime time	not complete and polished	Andy’s science project is coming along nicely, but it’s not ready for prime time.	Alludes to a TV show being of sufficient quality to be shown during prime viewing hours.		
	64500		nothing to write home about	unexciting	That was a decent play but nothing to write home about.			
	64600		nothing up (one’s) sleeve	no hidden resources	I’ve got nothing up my sleeve. What you see here is all I’ve got to work with. 	Alludes to the possibility of cheating at cards by hiding cards up one’s sleeve.		
GroupO
	64700	an	odd duck	eccentric	Andy’s a bit of an odd duck. He always approaches problems a bit differently.			
	64800		odds and ends	insignificant items	We’ve moved all the important stuff. There are just odds and ends left.	Probably alludes to the historical phrase \		
	64900		off base	wrong	I think that estimate is significantly off base.	Alludes to baseball, where a player off base is at risk of being put out.		
	65000		off base	uncalled for	His treatment of Andy was way off base. She didn’t deserve that.	Alludes to baseball, where a player off base is at risk of being put out.		
	65100		off hand	without much thought	Off hand, I’d say there were 500 people there.	Possibly alludes to shooting, where the phrase refers to shooting with the non-dominant hand.		
	65200		off on the wrong foot	starting off badly	I’m sorry that we’ve gotten off on the wrong foot. I apologize for my presumptuousness.	Probably alludes to a soldier or member of a marching band starting to march on the incorrect foot.		
	65300		off the bat	from the start	Andy was full of good ideas right off the bat.	baseball?		
	65400		off the cuff	without much thought	His remarks were off the cuff but still very eloquent.			
	65500		off the hook	not responsible	You’re off the hook this time. Everyone gets a second chance.	Probably alludes to fishing, where from the fish's point of view being on the hook is unfortunate.	[ { "id": "68800", "text": "on the hook" }, { "id": "54500", "text": "let (one) off the hook" } ]	
	65600		off the reservation	outside the boundaries	One of the board members went off the reservation and disclosed our internal deliberations to the press.	Alludes to the historical practice in US history of confining Native Americans to reservations from which they were forbidden to leave on penalty of being considered renegades.		
	65700		off the wagon	drinking again	Andy was doing so well, but she’s fallen off the wagon lately.	A shortened version of an earlier phrase \	[ { "id": "69400", "text": "on the wagon" } ]	Implies drinking again after having been sober for a time.
	65800		off the wall	weird	Andy throws out ideas that are completely off the wall but sometimes brilliant.			
	65900		off to the races	going to move rapidly	Andy’s suddenly enthusiastic about this plan, so I think we’re off to the races.			
	66000	the	old guard	the long-standing personnel	Professor Andy is one of the old guard, but he’s still open to new ideas.	Alludes to the changing of a military guard, where the current guards are replaced by fresh ones.		Implies personnel accustomed to traditional ways and resistant to change.
**	66100		old hat	outdated				
	66200		old school	a believer in traditional ways	I’m old school about these things. I think children need firm and clear rules.			
	66300		old stomping grounds	previously inhabited environs	Let Andy show us around. These are her old stomping grounds.	Alludes to areas frequented by herds of animals.		
	66400		old wives’ tale	traditional belief	The notion that spilling salt is bad luck is just an old wives’ tale. 			Often implies an allegedly unfounded belief.
	66500		on (one’s) (or its) last legs	end of (one’s) (or its) useful life	This old bike is on its last legs. I can no longer find parts to repair it.			
	66600		on (one’s) high horse	behaving self-righteously	Andy feels very offended and is really on her high horse.			
	66700		on (one’s) radar	within (one’s) awareness	They took me completely by surprise. That possibility wasn’t even on my radar.			
	66800		on (one’s) toes	alert	We need to be on our toes and attentive today. These folks always have a hidden agenda.	Possibly alludes to ballet, where dancers are often on tiptoe, or sports, where it is usually advantageous to be on one’s toes as opposed to flatfooted.		
	66900		on a roll	continuously succeeding	Andy’s really on a roll lately. She hasn’t lost a match in weeks.	Probably alludes to craps, where the phrase indicates a series of positive rolls of the dice.		
	67000		on a shoestring	cheaply	I’ve got very little money for this trip, so I’m traveling on a shoestring.			
	67100		on a wing and a prayer	with nothing but hope	Andy was completely unprepared, so she just auditioned on a wing and a prayer.			
	67200		on an even keel	stable	Andy coaches a fractious group of kids, but he manages to keep things on an even keel.	Alludes to a keeled boat being in a stable, balanced position.		
	67300		on auto pilot	acting automatically	Andy’s on auto pilot, just putting in his time until he leaves this job.	Alludes to the mechanism on planes that enables them to fly for periods of time without intervention by a pilot.		
	67400		on cloud nine	blissful	He’s on cloud nine since Andy asked him to the prom.			
	67500		on pins and needles	anxious	I’ve been on pins and needles waiting for the exam results.			
	67600		on point	out in front and exposed	Andy’s on point today. She’s presenting our proposal to the committee.			
**	67700		on skid row	in poverty		from Skid Road in Seattle		
**	67800		on tap	available; planned		Alludes to the dispensing of beer in bars or from kegs using a tap.		
**	67900		on tenterhooks	nervously awaiting the outcome				
	68000		on the back burner	receiving little attention	I’ve had this work on the back burner for weeks, but I think I finally have time for it.			
**	68100		on the back foot					
**	68200		on the chopping block	to be eliminated				
	68300		on the chopping block	expected to be eliminated	Now that the departmental budget is decided, we’ll find out which projects are on the chopping block.	Alludes to the solid, thick block of wood in butcher’s shops on which meat is chopped into various cuts. 		
	68400		on the fence	undecided	I’m still on the fence. I’m just not sure I’m up to that amount of effort.			
	68500		on the firing line	out in front and exposed	The press will have lots of tough questions. Who’s volunteering to be on the firing line?	Alludes to the front line of soldiers in a battle who do most of the firing.		
**	68600		on the fritz					
	68700		on the gravy train	reaping undeserved rewards	Andy landed an easy job and now she’s on the gravy train.			
	68800		on the hook	responsible	I paid for dinner last week. I think you’re on the hook this time.		[ { "id": "65500", "text": "off the hook" }, { "id": "54500", "text": "let (one) off the hook" } ]	
**	68900		on the right track	heading for the right solution		Probably alludes to railroads, where a train on the right track is headed for the correct destination.		
	69000		on the ropes	close to defeat	Andy worked hard but I think her little startup business is on the ropes.	Alludes to boxing, where the phrase indicates that a boxer is losing the bout.		
	69100		on the same page	in agreement	We had a strategy meeting yesterday and I think we’re all on the same page now.			
	69200		on the same wavelength	in agreement	Andy and I are usually on the same wavelength, but apparently not today. 			
	69300		on the sidelines	a non-participant	I’m not on this project, so I’m just on the sidelines for this discussion.	Alludes to court or field sports, where inactive players are on the sidelines.		
	69400		on the wagon	not drinking alcohol	Andy’s back on the wagon this week, but who knows about next week?		[ { "id": "65700", "text": "off the wagon" } ]	
	69500		on the warpath	angry and seeking victims	I would avoid Andy today. She’s on the warpath about the failure of her pet project.	Alludes to to the historic use of the phrase by Native Americans to identify individuals headed for battle.		
	69600		on thin ice	at risk	You’re already on thin ice. You need to do all the remaining assignments to get a decent grade.			
	69700		one-trick pony	individual with only one skill	He’s a one-trick pony, but he’s very good at what he does.	Alludes to vaudeville, where some acts featured horses or ponies that performed tricks.		
	69800		other fish to fry	other obligations	I’d really like to help you with your speech, but unfortunately I have other fish to fry.			
	69900		out for blood	seeking culprits	After the failure of her pet project, Andy’s out for blood today.			
	70000		out of bounds	unacceptable	That sort of behavior in the classroom is out of bounds.			
	70100		out of left (or right) field	completely unexpected	That idea sure came out of left field. 			
	70200		out of step	not in alignment	He’s completely out of step with us on political issues.	Probably alludes to a soldier or member of a marching band not marching in unison.		
	70300		out of the chute	from the start	He had some really interesting thoughts about the show right out of the chute.	rodeo		
	70400		out of the starting blocks	from the start	He had some really interesting thoughts about the show right out of the starting blocks.	Alludes to track, where sprinters position their feet on blocks for the start.		
	70500		out to lunch	not mentally present	Andy appears to be out to lunch today. I wonder what’s on her mind.			
	70600		over a barrel	in a very vulnerable position	They have us over a barrel. We have no option but to take their offer.	Possibly alludes to the historical method of rolling a drowning victim over a barrel to attempt resuscitation.		
	70700		over the top	extreme	The light show at that concert was completely over the top.			
	70800	an	own goal	self-inflicted damage	That witness didn’t help us at all. Calling him to testify might have been an own goal.	Alludes to sports like hockey or soccer where a player can accidentally send the puck or ball into his or her own goal and score a point for the opposing team.		
GroupP
	70900		paint the town red	celebrate publicly and enthusiastically	We just found out we both passed the bar, so we’re out to paint the town red!			
	71000		pan out	prove accurate	I thought I found a source for antique woodworking tools, but it didn’t pan out.	Probably alludes to panning for gold, where the phrase refers to a claim that yielded results.		
	71100	a	paper tiger	only apparently strong	He’s won his last few matches, but I think he’s really a paper tiger. 			
	71200		par for the course	what one would expect	Andy didn’t arrive on time, but that’s par for the course.	Alludes to golf, where par is the standard score.		
**	71300		part and parcel	all components				
	71400	the	party line	predetermined explanation	I hoped we’d get an honest answer from her, but she’s adhering to the party line.	Alludes to a political party dictating specific policies to its members.		Implies an explanation dictated by higher authority.
	71500	a	party pooper	deadening influence	I hate to be a party pooper, but we’ve got to get home.			
	71600		pass (or hand off) the baton	transfer responsibility	He’s reluctant to retire, but he knows it’s time to pass the baton.	Alludes to a relay in track, where one runner passes a baton to the next.		Implies transfer of responsibility to a new generation.
	71700		pass muster	meet the requirements	Does our new employee pass muster?	Alludes to the military practice of calling soldiers together for inspection.		
	71800		pass the buck	transfer responsibility	Andy hates making hard decisions and he always tries to pass the buck.	Probably alludes to the game of poker, where historically the dealer was changed by passing a buck knife from one player to the next.		Implies that the responsibility should have been accepted.
	71900		pass the smell test	sound minimally credible	Your explanation doesn’t pass the smell test. It’s too contrived.			
	72000		pass the torch	transfer responsibility	He’s reluctant to retire, but he knows it’s time to pass the torch.	Alludes to the tradition of passing a torch by relay from one host city of the Olympic Games to the next, itself a practice derived from the ancient Greeks use of a torch as a baton in a relay race.		Implies transfer of responsibility to a new generation.
**	72100		past its (or (one’s)) sell by date	past its useful life	He’s past his sell-by date but he just refuses to retire.	Alludes to to the practice of stamping a date on a food product to indicate the end of its useful life.		
	72200		pay back (or return) in spades	respond in kind	Andy’s paying her back in spades for her disgraceful insults.			Usually implies a response to a negative action.
	72300		pay the piper	suffer the consequences	We’ve been procrastinating all term and now it’s time to pay the piper.	Alludes to the legend of the Pied Piper of Hamelin in which the Piper leads the town’s rats away from Hamelin with his magic pipe, and subsequently leads the town’s children away also when the town refuses to pay him.		
	72400		pay through the nose	pay an unreasonably high price	There’s no other source for components of such quality, so unfortunately we’ll have to pay through the nose for them.			
	72500	the	peanut gallery	onlookers	We can do without the snide comments from the peanut gallery.	Alludes to to the cheapest seats in a vaudeville theater, from where patrons heckled and threw peanuts at poor performers.		Usually implies rowdy onlookers. Used informally.
	72600		pecking order	order of authority	Any group of kids usually establishes a pecking order within a few days.	Alludes to to the order of dominance established in a flock of chickens by pecking.		
**	72700		peter out	gradually run out				
**	72800		phone it in				[ { "id": "58100", "text": "mail it in" } ]	
	72900	the	pick of the litter	first choice	We’re first in line for tickets, so we get the pick of the litter.	Alludes to the practice of granting or selling someone the first choice of a litter of dogs, cats, etc.		
	73000		pie in the sky	unrealistic expectations	Andy thinks his app will make him rich, but it’s just pie in the sky.	Alludes to the expectation of a reward in the afterlife as opposed to one here and now.		
	73100		pile on	afflict unnecessarily	Now you’re just piling on. I think Andy has been teased enough.	Alludes to to the now illegal practice in American football of jumping on a player who is already down.		Often used in the progressive tense, as \
	73200		pilot error	human error	There’s nothing wrong with the computer. I believe we have a case of pilot error here.	Alludes to flying aircraft, where the pilot has primary responsibility.		
	73300		pipe down	be quiet	It’s ten o’clock, kids. Time to pipe down.	Alludes to the naval practice of using a whistle or pipe to signal the end of a shift.		
	73400	a	pipe dream	an unrealistic expectation	Andy thinks his app will make him rich, but it’s just a pipe dream.	Alludes to the dreams or visions produced by smoking a pipe of opium.		
	73500	a	pit stop	a break	We’ve been riding for an hour. Does anyone besides me need a pit stop?	Alludes to auto racing, where a race car must occasionally stop in the pit inside the track to get gas, replace tires, etc.		Often implies a break for natural relief.
	73600		play (one’s) cards close to (one’s) chest (or vest)	proceed secretively 	I don’t know what Andy’s term paper is about. He’s playing his cards close to his chest.	Alludes to card games where one hold’s one cards close to prevent one’s opponents from seeing your hand.		
	73700		play (one’s) cards right	act strategically	If you play your cards right, the professor will sometimes give you an extension on your assignment.	Obviously alludes to playing well in a card game.		
**	73800		play dirty					
	73900		play hardball	operate ruthlessly	These folks play hardball, so we’ll have to be firm in negotiating this contract. 			
	74000		play it by ear	deal with things as they arise	We’re not sure what we’re going to do in New Orleans. We’re going to play it by ear.	Alludes to the ability of some people to hear a piece of music and play it back without recourse to the score.		
	74100		play musical chairs	move around pointlessly	This is my third reassignment this month. I feel like I’m playing musical chairs.	Alludes to to the game of musical chairs, where players walk around a group of chairs (one less than the number of players) while music plays and then seek to avoid elimination by grabbing a chair when the music stops.		
**	74200		play possum	pretend to be unaware		Alludes to the opossum (or possum), which can feign death when threatened. 		
	74300		play second fiddle	act in a secondary role	Andy has improved so much that she’s no longer playing second fiddle to her peers.	Alludes to orchestras, where the best violin (or any instrument) player is formally termed first chair and the next best is termed second chair.		Usually implies that the person in the secondary role is dissatisfied and feels he or she could do better.
	74400		play the devil’s advocate	take the opposite side of an argument	I’ll play the devil’s advocate here. I can suggest a few reasons why we might not hire him.	Alludes to the practice in the Catholic Church of designating a person to argue against someone’s sainthood or canonization.		Implies taking the opposite side not necessarily out of belief but for the sake of ensuring full debate.
**	74500		play the field	check out various opportunities		Alludes to horse racing in Britain, where the phrase signified betting on every horse in a field but the favorite.		Usually implies romantic opportunities.
**	74600		play whack-a-mole	deal with one crisis after another				
	74700		play with house money	have nothing to lose	I never expected to get past the first round, much less the third. I’m playing with house money now.	Alludes to gambling, where the phrase signifies to win enough to no longer be risking one’s own money. 		
**	74800		pleased as punch	delighted	Andy did really well in her interview. I’m pleased as punch for her.	Alludes to the character Punch from the historic comedy puppet show <b><i>Punch and Judy</i></b>.		
	74900	the	point man	the designated leader	Andy’s the point man today. He’s presenting our proposal to the committee.	Alludes to the military, where the phrase refers to the leading person in a military movement. 		
**	75000	a	poison pill					
	75100		poison the well	pollute opinions	I doubt that the committee can judge us fairly now that those rumors have poisoned the well.	Alludes to the historical practice of raiders poisoning the well or a target town or castle to make it unusable.		
	75200	a	poker face	unrevealing expression	Andy has such a poker face. That’s what makes him a good practical joker.	Alludes to the practice in card games of not expressing any emotion that could indicate the quality of one’s hand.		
**	75300	the	pole position	advantageous position	There are lots of applicants for the new manager position, but I think Andy’s qualifications give her the pole position.	Alludes to horse or auto racing, where the phrase refers to the advantageous inside position at the beginning of a race.		
	75400		pony up	pay (one’s) share	We agreed to share the bill, so now it’s time to pony up.			
**	75500		pork-barrel politics	dealings to acquire government largesse 		from literal barrel of pork to metaphorical livelihood		Implies dealings that are not entirely legitimate.
	75600		poster child	prime example	Andy is the poster child of procrastination.	March of Dimes 		
	75700		pot of gold	imaginary big reward	Andy keeps trying different crazy schemes, always looking for his pot of gold.	Alludes to the longstanding myth that a pot of gold awaits anyone who reaches the end of a rainbow.		Often followed by \
**	75800		pot shots	random attempts at harm				
	75900		Potemkin Village	false front	Their company appears to have developed a wonderful new technology, but it’s all just a Potemkin Village.	Alludes to the possibly apocryphal story of fake villages constructed to impress Empress Catherine of Russia by her lover Grigory Potemkin.		
	76000		pound of flesh	utmost that is due	Big banks never yield on late payments. They always get their pound of flesh.	Alludes to the specification of a pound of flesh as collateral for a loan in Shakespeare’s play <b><i>The Merchant of Venice</i></b>.		Implies a very rigid adherence to an obligation by the holder of the obligation. 
	76100		preach to the choir	convince the already convinced	I’ve already decided I’m voting for your candidate. You’re preaching to the choir here. 			
	76200		press the flesh	meet people face-to-face	If Andy wants to be truly popular, she needs to get out and press the flesh with her fans.	Alludes to the practice of polticians mingling and shaking hands in crowds while campaigning.		
	76300		prime the pump	invest the initial resources	They have a good plan and now they just need a small investment to prime the pump.	Alludes to the necessity of adding water to some water pumps to force air out and ready the pump for use.		
	76400	the	primrose path	the illusory easy way	Andy’s walking down the primrose path straight into disaster.	From Shakespeare’s use of the phrase in the play <b><i>Hamlet</i></b> .		
	76500	the 	promised land	the realization of complete success	Everyone thinks that getting a law degree will lead them to the promised land, but it’s not that simple.	Alludes to the Biblical story of the Israelites leaving Egypt in search of the land promised them by God.		
	76600	the	proof is in the pudding	only the actual results reveal success or failure	We can’t know it’s a valid experiment until we run it. The proof is in the pudding.			
	76700		pull (one’s) punches	use less than full force	Andy knows she’s already won the debate, so she’s starting to pull her punches a bit.	Alludes to boxing, where a boxer may ease up on their opponent once victory is certain.		
	76800		pull a (or the) rabbit out of a (or the) hat	achieve results fortuitously	Andy pulled a rabbit out of a hat this time, but she won’t always be so lucky.	Alludes to the magician’s trick of pulling a rabbit or other unexpected object out of an apparently empty hat.  		
	76900		pull out all the stops	apply every resource	If you want to win this race, you need to pull out all the stops.	Alludes to playing a pipe organ, where the phrase refers to the stops which allow air into pipes when pulled out, thereby increasing volume. 		
	77000		pull the plug	stop expending resources	It’s time to pull the plug on this project. We can see now that it isn’t going to work.	electricity?		
	77100		pull up stakes	abandon a place	We’ve found no new voters to register here. It’s time to pull up stakes.	Alludes to the early mining practice of placing stakes around an area to mark it as claimed or pulling up tent stakes when taking down a tent. [two origina]		
	77200		pulling (one’s) leg	teasing (one)	Of course that’s not true. I was just pulling your leg.	Possibly alludes to the supposed historical practice of tripping someone before robbing them or possibly the historical practice of pulling on the legs of someone being hanged to speed their death. [two origina]		
	77300		punch above (one’s) weight	perform above (one’s) perceived abilities	They’re a team from a small school, but they always seem to punch above their weight.	Alludes to boxing, where an individual may be stronger than expected for their weight class.		
	77400		push the envelope	stretch the boundaries	There are a bunch of smart people at that lab and they’re always pushing the envelope.	Alludes to aviation, where the idiom refers to stressing an aircraft beyond its technical specifications.		
	77500		push the panic button	panic	Don’t push the panic button just yet! We’ve got one more fix we can try.	Alludes to the common presence on a machine of a button, usually red, to immediately halt the machine in case of emergence.		
	77600		put (or hang) out (one’s) shingle	start a (or (one’s)) business	Andy couldn’t find a job, so he’s putting out his shingle.	Alludes to the historical practice of identifying one’s business using a shingle as a sign.		Usually implies a professional such as lawyer or architect opening an office.
	77700		put (one’s) foot down	strongly exert (one’s) authority	The coach is putting his foot down. He’s tired of the team’s lackadaisical attitude.			
	77800		put (one’s) foot in (one’s own) mouth	speak inappropriately	I put my foot in my mouth this time. I let it slip about the surprise party.	Possibly alludes to the phrase foot-in-mouth being a play on the hoof-and-mouth disease that afflicts cattle.		
	77900		put (one) out to pasture	force (one) to retire	The department wants to put him out to pasture, but he’s very resistant.	Alludes to the practice in horse racing of retiring a racehorse after its racing career to become a stud or broodmare.		
	78000		put (one) through their paces	have (one) show their competence	You had better be prepared for your interview. She will put you through your paces.	dressage?		
	78100		put (something) in mothballs	suspend (something)	It looks like we’re putting this project in mothballs.	Alludes to the practice of storing clothes with mothballs to prevent damage from moths.		
	78200		put (something) on ice	finish (something) up	They’ve put their science project on ice. They’re done and satisfied with it.			
	78300		put a damper on	reduce	I’m sorry to put a damper on the festivities, but it’s time to get back to work.	Alludes to the damper used in fireplaces and fuel-burning stoves to reduce the amount of air feeding the fire.		Implies that the reduction is not welcomed.
	78400		put a stake in the ground	establish a firm position	The president has to put a stake in the ground on this issue. She can’t back down any further.	Possibly alludes to the Native American practice of typing oneself to a stake in battle to indicate no intention of retreat or the historical practice in mining of placing stakes around an area to mark a claim. [two origins]		
**	78500		put on the dog	create a fancy environment				
	78600		put stock in	give credence to	I don’t put much stock in what she says. It’s mostly just rumors.	stock market?		Often used negatively, as shown.
	78700		put the genie back in the bottle	reverse an irreversible action	Once the secret is out, there’s no way to put the genie back in the bottle.	Alludes to the folk tale of Aladdin, which includes a magic lamp that when rubbed produces a genie of magical powers.	[ { "id": "55000", "text": "let the genie out of the bottle" } ]	
	78800		put the pedal to the metal	move as fast as possible	Our science project is due tomorrow. It’s time to put the pedal to the metal.	automobiles		
	78900		put the screws to (one)	put intense pressure on (one)	If the screening committee thinks you’re not completely honest with them, they will really put the screws to you.	Alludes to the medieval use of screws to torture individuals by exerting immense pressure on their toes or fingers.		
	79000		put through the wringer	caused to suffer excessively	Andy has been put through the wringer this term. He’s simply exhausted.	Probably alludes to the wringer previously attached to washing machines to squeeze the water out of wet clothes.		
	79100		put up or shut up	prove yourself	We’ve heard how good you are at this, but now it’s time to put up or shut up.	Probably alludes to gambling, where the phrase directed a player to either ante up or withdraw.		
**	79200		pyramid scheme					
GroupQ
GroupR
	79300		rain cats and dogs	rain extremely hard	Grab your rain gear. It’s raining cats and dogs out there.	animals slipping off straw roofs in the rain [??]		
	79400		rain on (one’s) parade	spoil (one)’s fun	I hate to rain on your parade, but we still don’t know who won the election.			
	79500		raise (or up) (one’s) game	operate at a higher level	Andy needs to raise her game if she wants to succeed in law school. 			
	79600		raise Cain	cause a commotion	They’re not happy with the jury’s decision and they’re raising Cain in front of the courthouse.			
	79700		raise the bar	increase the requirements	It’s really unfair to raise the bar after the students have already prepared for the exam.	Alludes to the track event of high jumping, where competitors must jump over ever higher bars.		
	79800		raise the roof	have an uproariously good time	The football team won its first game this year and the students are absolutely raising the roof.			
